strn	OGT	Type
Colwellia BRX10.1	10.5	ratk
Colwellia BRX10.2	9.20000000000005	ratk
Colwellia BRX10.3	13.3000000000001	ratk
Colwellia BRX10.4	8.44999999999999	ratk
Colwellia BRX10.5	10.5	ratk
Colwellia BRX10.6	10.2	ratk
Colwellia BRX10.7	10.5	ratk
Colwellia BRX10.8	9.89999999999998	ratk
Colwellia BRX10.9	9.5	ratk
Colwellia BRX8.1	8.60000000000002	ratk
Colwellia BRX8.2	8.60000000000002	ratk
Colwellia BRX8.3	8.89999999999998	ratk
Colwellia BRX8.4	10.7	ratk
Colwellia BRX8.5	9.70000000000005	ratk
Colwellia BRX8.6	10.1	ratk
Colwellia BRX8.7	10.2	ratk
Colwellia BRX8.8	10.8000000000001	ratk
Colwellia BRX8.9	8.30000000000007	ratk
Colwellia BRX9.1	9.80000000000007	ratk
Colwellia Bg11-12	12	ratk
Colwellia Bg11-28	10.7	ratk
Colwellia MB02u-1	8.20000000000005	ratk
Colwellia MB02u-10	7.60000000000002	ratk
Colwellia MB02u-11	6.60000000000002	ratk
Colwellia MB02u-12	7.80000000000007	ratk
Colwellia MB02u-14	7.20000000000005	ratk
Colwellia MB02u-18	9.20000000000005	ratk
Colwellia MB02u-19	7.80000000000007	ratk
Colwellia MB02u-6	7.25000000000006	ratk
Colwellia MB02u-7	6.10000000000002	ratk
Colwellia MB02u-9	8.94999999999999	ratk
Colwellia MB3u-22	6.39999999999998	ratk
Colwellia MB3u-28	6.70000000000005	ratk
Colwellia MB3u-4	7.89999999999998	ratk
Colwellia MB3u-41	7.39999999999998	ratk
Colwellia MB3u-43	7.70000000000005	ratk
Colwellia MB3u-45	8.80000000000007	ratk
Colwellia MB3u-55	9.5	ratk
Colwellia MB3u-64	5.80000000000007	ratk
Colwellia MB3u-70	7.70000000000005	ratk
Colwellia MB3u-8	10.7	ratk
Colwellia demingiae strain ACAM 459	11	lit_ratk
Colwellia hornerae strain ACAM 607	10.5	lit_ratk
Colwellia piezophila ATCC BAA-637	15	lit_ratk
Colwellia psychotropica	17.6	lit_ratk
Colwellia psychrerythraea ACAM 605	12.7	lit_ratk
Colwellia sp. PAMC 20917	10	lit
Cognaticolwellia beringensis strain NB097-1	11.5	lit
Colwellia polaris strain MCCC1C00015	20.5	lit
Colwellia chukchiensis strain CGMCC1.9127	24	lit
Cognaticolwellia sediminilitoris strain KCTC 52213	30	lit
Colwellia aestuarii strain CGMCC1.6965	27.5	lit
Cognaticolwellia aestuarii strain KCTC 12480	27.5	lit
Cognaticolwellia mytili strain KCTC 52417	20	lit
Pseudocolwellia agarivorans strain QM50	29	lit
Colwellia psychrerythraea 34H	9	lit
Colwellia psychrerythraea ND2E	8	lit
Colwellia marinimaniae strain MTCD1	6	lit
Colwellia psychrerythraea GAB14E	8	lit
Colwellia echini strain A3T	20	lit
Litorilituus sp. RZ04	25	lit
Litorilituus sediminis strain JCM 17549	37	lit
Thalassomonas actiniarum strain A5K-106	27.5	lit
Thalassotalea sp. LPB0090	25	lit
Thalassotalea sp. ZS-4	37	lit
