label	ClusterName
Thalassomonas actiniarum strain A5K-106	Other Colwelliaceae
Thalassomonas viridans strain XOM25	Other Colwelliaceae
Thalassotalea sp. PP2-459	Other Colwelliaceae
Thalassotalea sp. LPB0090	Other Colwelliaceae
Thalassotalea crassostreae strain LPB0090	Other Colwelliaceae
Thalassotalea sp. HSM 34 strain HSM 43	Other Colwelliaceae
Thalassotalea sp. 42_200_T64 strain 42_200_T64	Other Colwelliaceae
Thalassotalea sp. ND16A	Other Colwelliaceae
Thalassomonas sp. M1454	Other Colwelliaceae
Thalassotalea sp. ZS-4	Other Colwelliaceae
Thalassotalea sp. PS06	Other Colwelliaceae
Thalassotalea litorea strain MCCC 1K03283	Other Colwelliaceae
Alteromonas aestuariivivens strain KCTC 52655	Other Colwelliaceae
Colwellia sp. strain NORP5	Other Colwelliaceae
Pseudoalteromonas agarivorans S816	Other Colwelliaceae
Thalassotalea euphylliae strain H3	Other Colwelliaceae
Thalassotalea euphylliae strain H2	Other Colwelliaceae
Thalassotalea euphylliae strain H1	Other Colwelliaceae
Colwelliaceae bacterium strain ARS1043	Other Colwelliaceae
Thalassotalea agarivorans strain DSM 19706	Other Colwelliaceae
Pseudocolwellia agarivorans strain QM50	Other Colwelliaceae
Colwellia sp. UCD-KL20	Other Colwelliaceae
Colwellia sp. strain DT_19	Other Colwelliaceae
Colwellia sp. strain DT_21	Other Colwelliaceae
Colwellia sp. strain NORP29	Other Colwelliaceae
Colwellia sp. strain UBA8680	Other Colwelliaceae
Colwellia sp. 20A7	Other Colwelliaceae
Colwellia sp. strain DT_18	Other Colwelliaceae
Litorilituus sediminis strain JCM 17549	Other Colwelliaceae
Litorilituus sp. RZ04	Other Colwelliaceae
Colwellia sp. RSH04	Other Colwelliaceae
Colwellia sp. 39_35_sub15_T18 strain 39_35_sub15_T18	Other Colwelliaceae
Colwellia sp. strain DT_20	Other Colwelliaceae
Colwellia sp. OISW-25	Clade C
Colwellia sp. 12G3	Clade C
Colwellia sp. strain UBA8227	Clade C
Colwellia sp. 75C3	Clade C
Colwellia sp. strain UBA10809	Clade C
Colwellia psychrerythraea strain Glo_19	Clade C
Colwellia psychrerythraea ND2E	Clade C
Colwellia psychrerythraea strain 38_32_sub10_T18	Clade C
Colwellia demingiae strain ACAM 459	Clade C
Colwellia psychrerythraea 34H	Clade C
Colwellia Bg11-28	Clade C
Colwellia psychrerythraea GAB14E	Clade C
Colwellia piezophila ATCC BAA-637	Clade C
Colwellia sp. strain DT_17	Clade C
Colwellia sp. strain DT_22	Clade C
Colwellia sp. MT41	Clade C
Colwellia sp. MT2012	Clade C
Colwellia marinimaniae strain MTCD1	Clade C
Colwellia sp. TT2012	Clade C
Colwellia echini strain A3T	Clade C
Cognaticolwellia aestuarii strain KCTC 12480	Clade B
Colwellia aestuarii strain CGMCC1.6965	Clade B
Colwellia sp. strain Glo_8	Clade B
Cognaticolwellia mytili strain KCTC 52417	Clade B
Colwellia MB02u-12	Clade B
Colwellia MB02u-18	Clade B
Colwellia MB3u-4	Clade B
Colwellia sp. Arc7-635	Clade B
Colwellia sp. C1TZA3	Clade B
Colwellia MB02u-6	Clade B
Colwellia MB02u-10	Clade B
Colwellia MB3u-70	Clade B
Colwellia MB3u-8	Clade B
Colwellia MB02u-1	Clade B
Colwellia MB3u-45	Clade B
Colwellia MB3u-43	Clade B
Colwellia MB02u-19	Clade B
Colwellia BRX10.3	Clade B
Colwellia polaris strain MCCC1C00015	Clade B
Colwellia sp. Arc7-D	Clade B
Colwellia MB02u-9	Clade B
Cognaticolwellia beringensis strain NB097-1	Clade B
Cognaticolwellia sediminilitoris strain KCTC 52213	Clade B
Colwellia chukchiensis strain CGMCC1.9127	Clade B
Colwellia sp. PAMC 21821 strain PAMC 21821	Clade B
Colwellia Bg11-12	Clade A2
Colwellia MB02u-14	Clade A2
Colwellia MB3u-41	Clade A2
Colwellia MB02u-7	Clade A2
Colwellia MB3u-22	Clade A2
Colwellia MB02u-11	Clade A2
Colwellia MB3u-64	Clade A2
Colwellia MB3u-28	Clade A2
Colwellia BRX10.1	Clade A1
Colwellia BRX10.2	Clade A1
Colwellia BRX10.7	Clade A1
Colwellia BRX8.9	Clade A1
Colwellia BRX10.5	Clade A1
Colwellia hornerae strain ACAM 607	Clade A1
Colwellia hornerae strain IC037	Clade A1
Colwellia hornerae strain IC036	Clade A1
Colwellia BRX10.9	Clade A1
Colwellia BRX10.6	Clade A1
Colwellia sp. PAMC 20917	Clade A1
Colwellia BRX10.4	Clade A1
Colwellia MB3u-55	Clade A1
Colwellia BRX8.5	Clade A1
Colwellia BRX8.3	Clade A1
Colwellia BRX8.6	Clade A1
Colwellia BRX8.2	Clade A1
Colwellia BRX8.8	Clade A1
Colwellia BRX8.4	Clade A1
Colwellia BRX9.1	Clade A1
Colwellia BRX8.7	Clade A1
