strain	-1	11	17	4
1	Colwellia Bg11-12	1.3 ± 0.12	2.8 ± 0.06	2.4 ± 0.2	2.1 ± 0.072
2	Colwellia Bg11-28	1.4 ± 0.091	2.5 ± 0.15	0.79 ± 0.2	1.8 ± 0.18
3	Colwellia BRX10.1	1.6 ± 0.1	2.2 ± 0.074	1.6 ± 0.29	1.9 ± 0.17
4	Colwellia BRX10.2	1.5 ± 0.21	2.2 ± 0.074	1.3 ± 0.04	2 ± 0.22
5	Colwellia BRX10.3	0.96 ± 0.087	1.2 ± 0.084	1.2 ± 0.088	0.96 ± 0.28
6	Colwellia BRX10.4	1.2 ± 0.28	1.6 ± 0.37	0.25 ± 0.096	1.5 ± 0.29
7	Colwellia BRX10.5	1.5 ± 0.2	1.9 ± 0.13	1.3 ± 0.071	1.6 ± 0.16
8	Colwellia BRX10.6	1.9 ± 0.21	2.2 ± 0.4	1.5 ± 0.18	1.9 ± 0.18
9	Colwellia BRX10.7	1.4 ± 0.18	2.1 ± 0.097	1.4 ± 0.16	1.7 ± 0.25
10	Colwellia BRX10.8	1.8 ± 0.16	2.1 ± 0.12	1.2 ± 0.13	1.9 ± 0.076
11	Colwellia BRX10.9	2 ± 0.091	2.9 ± 0.11	1.8 ± 0.31	2.6 ± 0.078
12	Colwellia BRX8.1	1.7 ± 0.02	2.1 ± 0.11	1 ± 0.054	1.9 ± 0.2
13	Colwellia BRX8.2	1.7 ± 0.11	2.1 ± 0.2	1 ± 0.067	1.9 ± 0.23
14	Colwellia BRX8.3	1.5 ± 0.14	2 ± 0.11	1 ± 0.056	1.8 ± 0.2
15	Colwellia BRX8.4	1.3 ± 0.13	1.6 ± 0.088	1.6 ± 0.23	1.5 ± 0.085
16	Colwellia BRX8.5	1.8 ± 0.25	2.3 ± 0.14	1.2 ± 0.14	1.8 ± 0.23
17	Colwellia BRX8.6	1.5 ± 0.056	2.1 ± 0.092	1.3 ± 0.13	1.8 ± 0.1
18	Colwellia BRX8.7	1.6 ± 0.099	2.6 ± 0.062	1.7 ± 0.15	2.2 ± 0.062
19	Colwellia BRX8.8	1.7 ± 0.085	2 ± 0.13	1.9 ± 0.07	2.1 ± 0.16
20	Colwellia BRX8.9	1.8 ± 0.13	1.9 ± 0.2	1.1 ± 0.1	2 ± 0.18
21	Colwellia BRX9.1	1.6 ± 0.19	2.3 ± 0.12	1.2 ± 0.035	1.9 ± 0.24
22	Colwellia MB02u-1	1.6 ± 0.15	1.6 ± 0.19	1.1 ± 0.19	1.8 ± 0.095
23	Colwellia MB02u-10	1.7 ± 0.14	1.9 ± 0.21	0.27 ± 0.1	2.1 ± 0.061
24	Colwellia MB02u-11	1.3 ± 0.2	1.6 ± 0.17	0.1 ± 0.062	1.9 ± 0.059
25	Colwellia MB02u-12	1.4 ± 0.054	1.6 ± 0.12	0.57 ± 0.44	1.6 ± 0.16
26	Colwellia MB02u-14	1.4 ± 0.13	1.9 ± 0.22	0.25 ± 0.11	2.1 ± 0.22
27	Colwellia MB02u-18	1.4 ± 0.12	1.7 ± 0.16	0.92 ± 0.45	1.5 ± 0.12
28	Colwellia MB02u-19	1.4 ± 0.1	1.6 ± 0.094	0.8 ± 0.43	1.7 ± 0.1
29	Colwellia MB02u-6	1.4 ± 0.17	1.5 ± 0.27	0.17 ± 0.21	1.8 ± 0.29
30	Colwellia MB02u-7	1.5 ± 0.14	1.1 ± 0.21	0.13 ± 0.088	2 ± 0.23
31	Colwellia MB02u-9	1.6 ± 0.081	1.6 ± 0.28	0.44 ± 0.17	1.7 ± 0.094
32	Colwellia MB3u-22	1.3 ± 0.11	1.1 ± 0.26	0.08 ± 0.049	1.8 ± 0.12
33	Colwellia MB3u-28	1.3 ± 0.11	1.2 ± 0.19	0.28 ± 0.091	1.7 ± 0.2
34	Colwellia MB3u-4	1.4 ± 0.15	1.3 ± 0.17	0.33 ± 0.071	1.5 ± 0.055
35	Colwellia MB3u-41	1.5 ± 0.13	1.2 ± 0.29	0.24 ± 0.074	1.7 ± 0.22
36	Colwellia MB3u-43	1.5 ± 0.084	1.5 ± 0.07	0.62 ± 0.11	1.6 ± 0.12
37	Colwellia MB3u-45	1.3 ± 0.082	1.7 ± 0.062	0.55 ± 0.11	1.6 ± 0.084
38	Colwellia MB3u-55	1.1 ± 0.03	2.4 ± 0.12	0.45 ± 0.14	1.9 ± 0.036
39	Colwellia MB3u-64	1.2 ± 0.13	0.9 ± 0.23	0.55 ± 0.41	1.9 ± 0.14
40	Colwellia MB3u-70	1.1 ± 0.1	1.4 ± 0.21	0.43 ± 0.32	1.5 ± 0.25
41	Colwellia MB3u-8	1.4 ± 0.076	1.7 ± 0.064	0.43 ± 0.066	1.5 ± 0.054
